iso,country_name,year,position,team,games_played,win,draw,loss,goals_for,goals_against,goal_difference,points
BRA,Brazil,2002,1,Brazil,7,7,0,0,18,4,14,21
DEU,Germany,2002,2,Germany,7,5,1,1,14,3,11,16
TUR,Turkey,2002,3,Turkey,7,4,1,2,10,6,4,13
KOR,South Korea,2002,4,South Korea,7,3,2,2,8,6,2,11
ESP,Spain,2002,5,Spain,5,3,2,0,10,5,5,11
,England,2002,6,England,5,2,2,1,6,3,3,8
SEN,Senegal,2002,7,Senegal,5,2,2,1,7,6,1,8
USA,United States,2002,8,United States,5,2,1,2,7,7,0,7
JPN,Japan,2002,9,Japan,4,2,1,1,5,3,2,7
DNK,Denmark,2002,10,Denmark,4,2,1,1,5,5,0,7
MEX,Mexico,2002,11,Mexico,4,2,1,1,4,4,0,7
,Republic of Ireland,2002,12,Republic of Ireland,4,1,3,0,6,3,3,6
SWE,Sweden,2002,13,Sweden,4,1,2,1,5,5,0,5
BEL,Belgium,2002,14,Belgium,4,1,2,1,6,7,−1,5
ITA,Italy,2002,15,Italy,4,1,1,2,5,5,0,4
PRY,Paraguay,2002,16,Paraguay,4,1,1,2,6,7,−1,4
ZAF,South Africa,2002,17,South Africa,3,1,1,1,5,5,0,4
ARG,Argentina,2002,18,Argentina,3,1,1,1,2,2,0,4
CRI,Costa Rica,2002,19,Costa Rica,3,1,1,1,5,6,−1,4
CMR,Cameroon,2002,20,Cameroon,3,1,1,1,2,3,−1,4
PRT,Portugal,2002,21,Portugal,3,1,0,2,6,4,2,3
RUS,Russia,2002,22,Russia,3,1,0,2,4,4,0,3
HRV,Croatia,2002,23,Croatia,3,1,0,2,2,3,−1,3
ECU,Ecuador,2002,24,Ecuador,3,1,0,2,2,4,−2,3
POL,Poland,2002,25,Poland,3,1,0,2,3,7,−4,3
URY,Uruguay,2002,26,Uruguay,3,0,2,1,4,5,−1,2
NGA,Nigeria,2002,27,Nigeria,3,0,1,2,1,3,−2,1
FRA,France,2002,28,France,3,0,1,2,0,3,−3,1
TUN,Tunisia,2002,29,Tunisia,3,0,1,2,1,5,−4,1
SVN,Slovenia,2002,30,Slovenia,3,0,0,3,2,7,−5,0
,China PR,2002,31,China PR,3,0,0,3,0,9,−9,0
SAU,Saudi Arabia,2002,32,Saudi Arabia,3,0,0,3,0,12,−12,0
ITA,Italy,2006,1,Italy,7,5,2,0,12,2,10,17
FRA,France,2006,2,France,7,4,3,0,9,3,6,15
DEU,Germany,2006,3,Germany,7,5,1,1,14,6,8,16
PRT,Portugal,2006,4,Portugal,7,4,1,2,7,5,2,13
BRA,Brazil,2006,5,Brazil,5,4,0,1,10,2,8,12
ARG,Argentina,2006,6,Argentina,5,3,2,0,11,3,8,11
,England,2006,7,England,5,3,2,0,6,2,4,11
UKR,Ukraine,2006,8,Ukraine,5,2,1,2,5,7,−2,7
ESP,Spain,2006,9,Spain,4,3,0,1,9,4,5,9
CHE,Switzerland,2006,10,Switzerland,4,2,2,0,4,0,4,8
NLD,Netherlands,2006,11,Netherlands,4,2,1,1,3,2,1,7
ECU,Ecuador,2006,12,Ecuador,4,2,0,2,5,4,1,6
GHA,Ghana,2006,13,Ghana,4,2,0,2,4,6,−2,6
SWE,Sweden,2006,14,Sweden,4,1,2,1,3,4,−1,5
MEX,Mexico,2006,15,Mexico,4,1,1,2,5,5,0,4
AUS,Australia,2006,16,Australia,4,1,1,2,5,6,−1,4
KOR,South Korea,2006,17,South Korea,3,1,1,1,3,4,−1,4
PRY,Paraguay,2006,18,Paraguay,3,1,0,2,2,2,0,3
,Ivory Coast,2006,19,Ivory Coast,3,1,0,2,5,6,−1,3
CZE,Czech Republic,2006,20,Czech Republic,3,1,0,2,3,4,−1,3
POL,Poland,2006,21,Poland,3,1,0,2,2,4,−2,3
HRV,Croatia,2006,22,Croatia,3,0,2,1,2,3,−1,2
AGO,Angola,2006,23,Angola,3,0,2,1,1,2,−1,2
TUN,Tunisia,2006,24,Tunisia,3,0,1,2,3,6,−3,1
IRN,Iran,2006,25,Iran,3,0,1,2,2,6,−4,1
USA,United States,2006,25,United States,3,0,1,2,2,6,−4,1
TTO,Trinidad and Tobago,2006,27,Trinidad and Tobago,3,0,1,2,0,4,−4,1
JPN,Japan,2006,28,Japan,3,0,1,2,2,7,−5,1
SAU,Saudi Arabia,2006,28,Saudi Arabia,3,0,1,2,2,7,−5,1
TGO,Togo,2006,30,Togo,3,0,0,3,1,6,−5,0
CRI,Costa Rica,2006,31,Costa Rica,3,0,0,3,3,9,−6,0
,Serbia and Montenegro,2006,32,Serbia and Montenegro,3,0,0,3,2,10,−8,0
ESP,Spain,2010,1,Spain,7,6,0,1,8,2,6,18
NLD,Netherlands,2010,2,Netherlands,7,6,0,1,12,6,6,18
DEU,Germany,2010,3,Germany,7,5,0,2,16,5,11,15
URY,Uruguay,2010,4,Uruguay,7,3,2,2,11,8,3,11
ARG,Argentina,2010,5,Argentina,5,4,0,1,10,6,4,12
BRA,Brazil,2010,6,Brazil,5,3,1,1,9,4,5,10
GHA,Ghana,2010,7,Ghana,5,2,2,1,5,4,1,8
PRY,Paraguay,2010,8,Paraguay,5,1,3,1,3,2,1,6
JPN,Japan,2010,9,Japan,4,2,1,1,4,2,2,7
CHL,Chile,2010,10,Chile,4,2,0,2,3,5,−2,6
PRT,Portugal,2010,11,Portugal,4,1,2,1,7,1,6,5
USA,United States,2010,12,United States,4,1,2,1,5,5,0,5
,England,2010,13,England,4,1,2,1,3,5,−2,5
MEX,Mexico,2010,14,Mexico,4,1,1,2,4,5,−1,4
KOR,South Korea,2010,15,South Korea,4,1,1,2,6,8,−2,4
SVK,Slovakia,2010,16,Slovakia,4,1,1,2,5,7,−2,4
,Ivory Coast,2010,17,Ivory Coast,3,1,1,1,4,3,1,4
SVN,Slovenia,2010,18,Slovenia,3,1,1,1,3,3,0,4
CHE,Switzerland,2010,19,Switzerland,3,1,1,1,1,1,0,4
ZAF,South Africa,2010,20,South Africa,3,1,1,1,3,5,−2,4
AUS,Australia,2010,21,Australia,3,1,1,1,3,6,−3,4
NZL,New Zealand,2010,22,New Zealand,3,0,3,0,2,2,0,3
SRB,Serbia,2010,23,Serbia,3,1,0,2,2,3,−1,3
DNK,Denmark,2010,24,Denmark,3,1,0,2,3,6,−3,3
GRC,Greece,2010,25,Greece,3,1,0,2,2,5,−3,3
ITA,Italy,2010,26,Italy,3,0,2,1,4,5,−1,2
NGA,Nigeria,2010,27,Nigeria,3,0,1,2,3,5,−2,1
DZA,Algeria,2010,28,Algeria,3,0,1,2,0,2,−2,1
FRA,France,2010,29,France,3,0,1,2,1,4,−3,1
HND,Honduras,2010,30,Honduras,3,0,1,2,0,3,−3,1
CMR,Cameroon,2010,31,Cameroon,3,0,0,3,2,5,−3,0
PRK,North Korea,2010,32,North Korea,3,0,0,3,1,12,−11,0
DEU,Germany,2014,1,Germany,7,6,1,0,18,4,14,19
ARG,Argentina,2014,2,Argentina,7,5,1,1,8,4,4,16
NLD,Netherlands,2014,3,Netherlands,7,5,2,0,15,4,11,17
BRA,Brazil,2014,4,Brazil,7,3,2,2,11,14,−3,11
COL,Colombia,2014,5,Colombia,5,4,0,1,12,4,8,12
BEL,Belgium,2014,6,Belgium,5,4,0,1,6,3,3,12
FRA,France,2014,7,France,5,3,1,1,10,3,7,10
CRI,Costa Rica,2014,8,Costa Rica,5,2,3,0,5,2,3,9
CHL,Chile,2014,9,Chile,4,2,1,1,6,4,2,7
MEX,Mexico,2014,10,Mexico,4,2,1,1,5,3,2,7
CHE,Switzerland,2014,11,Switzerland,4,2,0,2,7,7,0,6
URY,Uruguay,2014,12,Uruguay,4,2,0,2,4,6,−2,6
GRC,Greece,2014,13,Greece,4,1,2,1,3,5,−2,5
DZA,Algeria,2014,14,Algeria,4,1,1,2,7,7,0,4
USA,United States,2014,15,United States,4,1,1,2,5,6,−1,4
NGA,Nigeria,2014,16,Nigeria,4,1,1,2,3,5,−2,4
ECU,Ecuador,2014,17,Ecuador,3,1,1,1,3,3,0,4
PRT,Portugal,2014,18,Portugal,3,1,1,1,4,7,−3,4
HRV,Croatia,2014,19,Croatia,3,1,0,2,6,6,0,3
BIH,Bosnia and Herzegovina,2014,20,Bosnia and Herzegovina,3,1,0,2,4,4,0,3
,Ivory Coast,2014,21,Ivory Coast,3,1,0,2,4,5,−1,3
ITA,Italy,2014,22,Italy,3,1,0,2,2,3,−1,3
ESP,Spain,2014,23,Spain,3,1,0,2,4,7,−3,3
RUS,Russia,2014,24,Russia,3,0,2,1,2,3,−1,2
GHA,Ghana,2014,25,Ghana,3,0,1,2,4,6,−2,1
,England,2014,26,England,3,0,1,2,2,4,−2,1
KOR,South Korea,2014,27,South Korea,3,0,1,2,3,6,−3,1
IRN,Iran,2014,28,Iran,3,0,1,2,1,4,−3,1
JPN,Japan,2014,29,Japan,3,0,1,2,2,6,−4,1
AUS,Australia,2014,30,Australia,3,0,0,3,3,9,−6,0
HND,Honduras,2014,31,Honduras,3,0,0,3,1,8,−7,0
CMR,Cameroon,2014,32,Cameroon,3,0,0,3,1,9,−8,0
FRA,France,2018,1,France,7,6,1,0,14,6,8,19
HRV,Croatia,2018,2,Croatia,7,4,2,1,14,9,5,14
BEL,Belgium,2018,3,Belgium,7,6,0,1,16,6,10,18
,England,2018,4,England,7,3,1,3,12,8,4,10
URY,Uruguay,2018,5,Uruguay,5,4,0,1,7,3,4,12
BRA,Brazil,2018,6,Brazil,5,3,1,1,8,3,5,10
SWE,Sweden,2018,7,Sweden,5,3,0,2,6,4,2,9
RUS,Russia,2018,8,Russia,5,2,2,1,11,7,4,8
COL,Colombia,2018,9,Colombia,4,2,1,1,6,3,3,7
MEX,Mexico,2018,10,Mexico,4,2,0,2,3,6,−3,6
DNK,Denmark,2018,11,Denmark,4,1,3,0,3,2,1,6
ESP,Spain,2018,12,Spain,4,1,3,0,7,6,1,6
PRT,Portugal,2018,13,Portugal,4,1,2,1,6,6,0,5
CHE,Switzerland,2018,14,Switzerland,4,1,2,1,5,5,0,5
ARG,Argentina,2018,15,Argentina,4,1,1,2,6,9,−3,4
JPN,Japan,2018,16,Japan,4,1,1,2,6,7,−1,4
IRN,Iran,2018,17,Iran,3,1,1,1,2,2,0,4
SEN,Senegal,2018,18,Senegal,3,1,1,1,4,4,0,4
DEU,Germany,2018,19,Germany,3,1,0,2,2,4,−2,3
NGA,Nigeria,2018,20,Nigeria,3,1,0,2,3,4,−1,3
PER,Peru,2018,21,Peru,3,1,0,2,2,2,0,3
POL,Poland,2018,22,Poland,3,1,0,2,2,5,−3,3
SAU,Saudi Arabia,2018,23,Saudi Arabia,3,1,0,2,2,7,−5,3
SRB,Serbia,2018,24,Serbia,3,1,0,2,2,4,−2,3
KOR,South Korea,2018,25,South Korea,3,1,0,2,3,3,0,3
TUN,Tunisia,2018,26,Tunisia,3,1,0,2,5,8,−3,3
AUS,Australia,2018,27,Australia,3,0,1,2,2,5,−3,1
CRI,Costa Rica,2018,28,Costa Rica,3,0,1,2,2,5,−3,1
ISL,Iceland,2018,29,Iceland,3,0,1,2,2,5,−3,1
MAR,Morocco,2018,30,Morocco,3,0,1,2,2,4,−2,1
EGY,Egypt,2018,31,Egypt,3,0,0,3,2,6,−4,0
PAN,Panama,2018,32,Panama,3,0,0,3,2,11,−9,0
ARG,Argentina,2022,1,Argentina,7,6,0,1,15,8,7,18
FRA,France,2022,2,France,7,5,0,2,16,8,8,15
HRV,Croatia,2022,3,Croatia,7,4,2,1,8,7,1,14
MAR,Morocco,2022,4,Morocco,7,4,1,2,6,5,1,13
,England,2022,5,England,5,3,1,1,13,4,9,10
NLD,Netherlands,2022,6,Netherlands,5,3,1,1,10,4,6,10
PRT,Portugal,2022,7,Portugal,5,3,0,2,12,6,6,9
BRA,Brazil,2022,8,Brazil,5,3,0,2,8,3,5,9
JPN,Japan,2022,9,Japan,4,2,0,2,5,4,1,6
SEN,Senegal,2022,10,Senegal,4,2,0,2,5,7,-2,6
AUS,Australia,2022,11,Australia,4,2,0,2,4,6,-2,6
CHE,Switzerland,2022,12,Switzerland,4,2,0,2,5,9,-4,6
,USA,2022,13,USA,4,1,2,1,3,4,-1,5
ESP,Spain,2022,14,Spain,4,1,1,2,9,3,6,4
POL,Poland,2022,15,Poland,4,1,1,2,3,5,-2,4
KOR,South Korea,2022,16,South Korea,4,1,1,2,5,8,-3,4
DEU,Germany,2022,17,Germany,3,1,1,1,6,5,1,4
ECU,Ecuador,2022,18,Ecuador,3,1,1,1,4,3,1,4
CMR,Cameroon,2022,19,Cameroon,3,1,1,1,4,4,0,4
URY,Uruguay,2022,20,Uruguay,3,1,1,1,2,2,0,4
TUN,Tunisia,2022,21,Tunisia,3,1,1,1,1,1,0,4
MEX,Mexico,2022,22,Mexico,3,1,1,1,2,3,-1,4
BEL,Belgium,2022,23,Belgium,3,1,1,1,1,2,-1,4
GHA,Ghana,2022,24,Ghana,3,1,0,2,5,7,-2,3
SAU,Saudi Arabia,2022,25,Saudi Arabia,3,1,0,2,3,5,-2,3
IRN,Iran,2022,26,Iran,3,1,0,2,4,7,-3,3
CRI,Costa Rica,2022,27,Costa Rica,3,1,0,2,3,11,-8,3
DNK,Denmark,2022,28,Denmark,3,0,1,2,1,3,-2,1
SRB,Serbia,2022,29,Serbia,3,0,1,2,5,8,-3,1
,Wales,2022,30,Wales,3,0,1,2,1,6,-5,1
CAN,Canada,2022,31,Canada,3,0,0,3,2,7,-5,0
QAT,Qatar,2022,32,Qatar,3,0,0,3,1,7,-6,0
